Source: https://www.genealogybranches.com/censuscosts.html ,,,
Census Year ,Total Population ,Census Cost ,Average Cost Per Person
1790,3929214,44377,113
1800,5308483,66109,124
1810,7239881,178445,246
1820,9633822,208526,216
1830,12866020,378545,294
1840,17069458,833371,488
1850,23191876,1423351,614
1860,31443321,1969377,626
1870,38558371,3421198,887
1880,50155783,5790678,1154
1890,62979766,11547127,1833
1900,76303387,11854000,1554
1910,91972266,15968000,1707
1920,105710620,25117000,2376
1930,122775046,40156000,3271
1940,131669275,67527000,5129
1950,151325798,91462000,6044
1960,179323175,127934000,7134
1970,203302031,247653000,122
1980,226542199,1078488000,476
1990,248718301,2492830000,1002
2000,281421906,4.5Billion,1599
2010,308745538,13Billion,4211